110	66	66	110	66	66	110	66	66	66	66	66	66	110	66	110	66	66	66	66	66	66	
110	66	66	110	66	66	110	66	66	66	25	25	25	110	66	110	0	0	0	0	0	106	
110	66	66	110	66	66	110	66	66	66	18	306	18	110	66	110	0	0	0	0	0	70	
110	66	66	110	66	66	110	66	66	105	0	0	0	67	66	68	0	106	66	66	66	110	
110	66	66	110	66	66	110	66	66	105	0	0	0	0	0	0	0	106	66	66	66	68	
110	66	66	110	66	66	68	0	0	69	0	0	0	0	0	0	0	70	43	0	0	44	
110	66	66	68	0	0	0	0	0	110	66	66	66	66	66	66	66	110	0	0	0	44	
68	0	0	0	0	44	44	44	0	67	66	66	66	66	66	66	66	68	0	0	44	44	
44	44	44	44	44	44	44	44	44	0	0	0	0	0	0	0	0	0	0	44	44	44	
44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	
44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	
