999	17	17	17	17	17	17	17	17	75	17	75	17	17	17	75	17	17	75	17	17	30
27	0	0	0	0	0	0	0	0	73	0	73	0	0	0	73	0	0	73	0	0	26
27	0	33	34	0	72	0	89	79	92	0	92	79	80	0	76	0	0	73	0	33	32
27	0	26	27	0	73	0	73	0	0	0	0	0	0	0	0	0	81	92	0	35	30
27	0	26	27	0	73	0	91	79	80	0	80	79	90	0	72	0	0	0	0	0	26
27	0	26	27	0	73	0	0	0	0	0	0	0	73	0	73	0	0	80	81	0	26
27	808	26	27	0	73	0	89	73	81	0	81	73	85	0	76	0	72	0	0	0	26
27	28	32	27	0	73	0	73	0	0	0	0	0	73	0	0	0	91	80	0	33	32
27	25	29	36	0	73	0	91	73	81	0	81	73	85	0	72	0	0	0	0	35	30
25	25	27	0	0	73	0	0	0	0	0	0	0	73	0	73	0	72	0	0	0	26
25	25	31	28	28	74	28	28	28	28	28	28	28	74	28	74	28	74	28	28	28	32
