110	66	66	110	66	66	110	66	66	66	66	66	110	66	66	110	66	66	66	66	66	66
110	66	66	110	66	66	110	66	66	66	66	66	110	66	66	110	0	0	0	0	0	106
110	66	66	110	66	66	110	66	66	66	309	66	110	66	66	110	0	0	0	0	0	70
110	66	66	110	66	66	110	66	66	704	0	0	67	66	66	68	0	106	66	-2	66	110
110	66	66	110	66	66	110	66	66	105	0	0	0	0	0	0	0	106	66	-2	66	68
110	66	66	110	66	66	68	0	0	69	0	0	0	0	0	0	0	70	0	0	0	-11
110	66	66	68	0	0	0	0	0	110	66	66	66	66	66	66	66	110	0	0	0	-13
68	0	0	0	0	0	44	44	0	67	66	66	66	66	66	66	66	68	44	0	0	0
0	0	44	0	0	0	43	43	43	0	0	0	0	87	88	0	0	0	43	44	44	44
0	44	44	44	0	0	0	0	0	0	87	88	0	0	0	0	0	0	0	43	44	44
0	44	44	44	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	43
